브랜드명,중분류명,소분류명,상품명,정가,할인가
보나쥬르,스킨 케어,스킨케어 마스크팩,그린티팩 5매 + 프로폴리스팩 5매,"20,000"," 15,000"
보나쥬르,바디 케어,바디 클렌져,티트리 바디 워시 300ml,"18,000"," 15,000"
보나쥬르,바디 케어,바디 클렌져,티트리 바디 로션 300ml,"18,000"," 16,000"
보나쥬르,바디 케어,바디 클렌져,티트리 바디 세트,"36,000"," 31,000"
보나쥬르,바디 케어,바디 클렌져,실키 바디 클렌저 300ml,"19,000"," 13,500"
보나쥬르,바디 케어,바디 클렌져,코코넛 바디 로션 300ml,"14,000"," 10,900"
보나쥬르,기초 화장품,기초 화장용 로션,아쥬라 센서티브 패밀리 케어 로션 300ml,"34,000"," 24,500"
보나쥬르,바디 케어,바디 클렌져,퓨어 레이디 워시 150ml,"18,000"," 15,000"
보나쥬르,기초 화장품,기초 화장용 크림,망고버터 핸드크림 50ml,"7,000"," 4,500"
보나쥬르,기초 화장품,기초 화장용 에센스,로얄 허니 립 에센스 10ml,"7,000"," 4,500"
보나쥬르,클렌징 용품,클렌징 폼,[미니어처] 그린티 폼 클렌징 20ml,"3,000",
보나쥬르,클렌징 용품,클렌징 워터/젤,[미니어처] 그린티 워터밤 20ml,"4,000",
보나쥬르,뷰티 도구,뷰티용 여드름압출기,블랙헤드 압출기,"4,300",
보나쥬르,기초 화장품,기초 화장용 미스트,노세범 뽀송 미스트 펌프,500,
보나쥬르,기초 화장품,기초 화장용 미스트,안개분사 미스트 펌프,500,
보나쥬르,기초 화장품,기초 화장용 크림,EGF 링클 이레이저 크림 30ml,"38,500"," 29,000"
이솔,기초 화장품,기초 화장용 에센스,이솔 토탈 8 히알루론산 세럼 100ml,"24,900"," 14,900"
이솔,헤어 케어,헤어케어,이솔 두피가 편한 샴푸 500ml,"18,800",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 에센셜 베리어 클렌징 오일 150ml,"19,800"," 15,900"
이솔,클렌징 용품,클렌징 폼,이솔 에센셜 베리어 클렌징 밀크 200ml,"18,900"," 13,900"
이솔,헤어 케어,헤어케어,이솔 더 실키 헤어 트리트먼트 200ml,"18,900"," 14,900"
이솔,헤어 케어,헤어케어,이솔 스칼프 시카 샴푸 500ml,"26,800"," 19,800"
이솔,헤어 케어,헤어케어,이솔 프로 나이아신아마이드 20 트리트먼트 50ml,"12,900",
이솔,스킨 케어,스킨케어 마스크팩,이솔 구황작물 맑은 결 마스크 100ml,"16,900",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 더 앰플 플러스 30ml,"25,900",
이솔,기초 화장품,기초 화장용 크림,이솔 핑크징크크림 50ml,"9,900",
이솔,기능성 화장품,기능성 영양보습 화장품,이솔 에그플랜트 피에이치 발란스 젤 70ml,"11,900",
이솔,기초 화장품,기초 화장용 에센스,이솔 베리베리 시카 롤 30ml,"13,900",
이솔,바디 케어,바디 클렌져,이솔 S.O.S 수딩 바디 트리트먼트 200g,"18,900",
이솔,기초 화장품,기초 화장용 에센스,이솔 솔잎 에너지 에센스 100ml,"18,900",
이솔,기능성 화장품,기능성 화이트닝 화장품,이솔 더 쑥 100ml,"18,900",
이솔,기초 화장품,기초 화장용 스킨,이솔 로즈 럭스 토너 300ml,"12,900",
이솔,색조 메이크업 립,색조 메이크업 립밤,두나 립 - 톤 밤 15g,"3,900",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 오리진 갈락토미세스 파워 앰플 80ml,"9,900",
이솔,기초 화장품,기초 화장용 오일/앰플,(New) 이솔 갈락토미세스 파워 앰플 73.7ml,"9,450",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 병풀 파워 앰플 73.7ml,"9,900",
이솔,기초 화장품,기초 화장용 스킨,이솔 세범 리스 포어 토너 200ml,"11,900",
이솔,기초 화장품,기초 화장용 스킨,이솔 스킨 베리어 리포좀 크림 50ml,"15,690",
이솔,기초 화장품,기초 화장용 에센스,두나 타임 리버스 세럼 30ml,"12,900",
이솔,헤어 케어,헤어케어,이솔 나이아신아마이드 10% 트리트먼트 100ml,"11,900",
